brand_id,brand_name,category,retailer_id,retailer_name,channel,region,product_acv,category_avg_acv,acv_gap_vs_category
78,Prime Confections,Confectionery,37,MetroBazaar (Metro),Grocery,India - Metro,23.6,62.6568965517241379,39.1
85,Heritage Treats,Confectionery,69,DailyBasket (Tier 2/3),Grocery,India - Tier 2/3,23.3,62.4378000000000000,39.1
102,Coastal Little Ones,Baby Care,82,ValueTrade GT #2 (Tier 2/3),General Trade,India - Tier 2/3,23.0,61.9433333333333333,38.9
89,Nomad Mornings,Breakfast & Cereal,82,ValueTrade GT #2 (Tier 2/3),General Trade,India - Tier 2/3,24.8,63.6752500000000000,38.9
59,Pure Shine,Home Care,37,MetroBazaar (Metro),Grocery,India - Metro,22.5,61.3740000000000000,38.9
76,Royal Farms,Dairy,65,FreshMart (Tier 2/3),Grocery,India - Tier 2/3,23.7,62.6312000000000000,38.9
43,Coastal Table,Packaged Foods,63,MarketLink GT (Metro),General Trade,India - Metro,23.4,62.2600000000000000,38.9
46,Fresh Refresh,Beverages,28,ExpressStop,C-Store,North America,24.0,62.8907142857142857,38.9
58,Coastal Clean,Home Care,193,Local Trade Collective (Indonesia),General Trade,SEA - Indonesia,24.9,63.7145833333333333,38.8
88,Pure Treats,Confectionery,105,FlashCart (UAE),Quick Commerce,Gulf - UAE,23.1,61.9394736842105263,38.8
97,Royal Breakfast Co,Breakfast & Cereal,151,SwiftBasket (Malaysia),Quick Commerce,SEA - Malaysia,23.9,62.5915625000000000,38.7
39,Blue Kitchen,Packaged Foods,147,SunriseMart (Malaysia),Grocery,SEA - Malaysia,23.9,62.4881250000000000,38.6
2,Bold Snacks,Salty Snacks,119,ValueTrade GT (Saudi),General Trade,Gulf - Saudi,23.7,62.3475000000000000,38.6
88,Pure Treats,Confectionery,194,ValueTrade GT (Indonesia),General Trade,SEA - Indonesia,23.3,61.8512500000000000,38.6
36,Cloud Table,Packaged Foods,87,MarketLink GT #2 (Tier 2/3),General Trade,India - Tier 2/3,23.5,61.8906000000000000,38.4
66,Golden Household,Home Care,188,ZipCart (Indonesia),Quick Commerce,SEA - Indonesia,25.3,63.7145833333333333,38.4
43,Coastal Table,Packaged Foods,75,Neighborhood Wholesale (Tier 2/3),General Trade,India - Tier 2/3,23.5,61.8906000000000000,38.4
88,Pure Treats,Confectionery,110,Corner Store Network (UAE),General Trade,Gulf - UAE,23.5,61.9394736842105263,38.4
107,Spring Tiny Care,Baby Care,188,ZipCart (Indonesia),Quick Commerce,SEA - Indonesia,21.4,59.7341666666666667,38.3
64,Blue Shine,Home Care,5,DailyBasket,Grocery,North America,23.2,61.5100694444444444,38.3
50,Crunch Drinks,Beverages,174,ValueTrade GT (Philippines),General Trade,SEA - Philippines,26.2,64.5381578947368421,38.3
13,Urban Bubbles,Sparkling Water,148,QuickDash (Malaysia),Quick Commerce,SEA - Malaysia,23.4,61.5825000000000000,38.2
50,Crunch Drinks,Beverages,190,SwiftBasket (Indonesia),Quick Commerce,SEA - Indonesia,22.5,60.6750000000000000,38.2
5,Urban Crisps,Salty Snacks,141,Community Retail Co-op (Qatar),General Trade,Gulf - Qatar,22.9,60.9850000000000000,38.1
51,Coastal Drinks,Beverages,143,MetroBazaar (Malaysia),Grocery,SEA - Malaysia,23.7,61.7712500000000000,38.1
91,Coastal Cereal Co,Breakfast & Cereal,151,SwiftBasket (Malaysia),Quick Commerce,SEA - Malaysia,24.5,62.5915625000000000,38.1
22,Crunch Fizz,Sparkling Water,110,Corner Store Network (UAE),General Trade,Gulf - UAE,25.0,62.9568181818181818,38.0
98,Coastal Mornings,Breakfast & Cereal,87,MarketLink GT #2 (Tier 2/3),General Trade,India - Tier 2/3,25.7,63.6752500000000000,38.0
90,Prime Grains,Breakfast & Cereal,144,GreenAisle (Malaysia),Grocery,SEA - Malaysia,24.6,62.5915625000000000,38.0
28,Spring Skin,Personal Care,143,MetroBazaar (Malaysia),Grocery,SEA - Malaysia,23.5,61.4575000000000000,38.0
15,Blue Springs,Sparkling Water,116,DailyBasket (Saudi),Grocery,Gulf - Saudi,25.1,63.0650000000000000,38.0
106,Vivid Little Ones,Baby Care,117,SunriseMart (Saudi),Grocery,Gulf - Saudi,26.6,64.5725000000000000,38.0
73,Blue Milk Co,Dairy,194,ValueTrade GT (Indonesia),General Trade,SEA - Indonesia,25.3,63.3287500000000000,38.0
18,Royal Fizz,Sparkling Water,14,SaverClub,Club,North America,25.2,63.0876190476190476,37.9
35,Silver Table,Packaged Foods,13,GreenAisle #2,Grocery,North America,24.6,62.4755208333333333,37.9
110,Meadow Tiny Care,Baby Care,9,CityMart,Grocery,North America,25.2,63.0250000000000000,37.8
9,Spring Crisps,Salty Snacks,90,FreshMart (UAE),Grocery,Gulf - UAE,24.9,62.7130681818181818,37.8
51,Coastal Drinks,Beverages,17,MegaValue Club,Club,North America,25.2,62.8907142857142857,37.7
83,Fresh Treats,Confectionery,75,Neighborhood Wholesale (Tier 2/3),General Trade,India - Tier 2/3,24.7,62.4378000000000000,37.7
33,Cloud Glow,Personal Care,83,Neighborhood Wholesale #2 (Tier 2/3),General Trade,India - Tier 2/3,25.1,62.8356666666666667,37.7
34,Bold Kitchen,Packaged Foods,192,FlashCart (Indonesia),Quick Commerce,SEA - Indonesia,26.9,64.6200000000000000,37.7
17,Nomad Bubbles,Sparkling Water,46,QuickDash (Metro),Quick Commerce,India - Metro,24.4,61.9855603448275862,37.6
18,Royal Fizz,Sparkling Water,113,MetroBazaar (Saudi),Grocery,Gulf - Saudi,25.5,63.0650000000000000,37.6
49,Meadow Beverages,Beverages,84,Corner Store Network #2 (Tier 2/3),General Trade,India - Tier 2/3,25.0,62.6366666666666667,37.6
33,Cloud Glow,Personal Care,85,Community Retail Co-op #2 (Tier 2/3),General Trade,India - Tier 2/3,25.2,62.8356666666666667,37.6
81,Prime Candy Co,Confectionery,137,Local Trade Collective (Qatar),General Trade,Gulf - Qatar,23.4,60.9133333333333333,37.5
91,Coastal Cereal Co,Breakfast & Cereal,145,PrimeGrocer (Malaysia),Grocery,SEA - Malaysia,25.1,62.5915625000000000,37.5
89,Nomad Mornings,Breakfast & Cereal,66,MetroBazaar (Tier 2/3),Grocery,India - Tier 2/3,26.2,63.6752500000000000,37.5
74,Sunrise Milk Co,Dairy,73,Local Trade Collective (Tier 2/3),General Trade,India - Tier 2/3,25.1,62.6312000000000000,37.5
93,Urban Mornings,Breakfast & Cereal,110,Corner Store Network (UAE),General Trade,Gulf - UAE,26.0,63.3928030303030303,37.4
71,Golden Farms,Dairy,178,Bazaar Wholesale (Philippines),General Trade,SEA - Philippines,24.0,61.3750000000000000,37.4
19,Fresh Fizz,Sparkling Water,81,Local Trade Collective #2 (Tier 2/3),General Trade,India - Tier 2/3,26.1,63.3680000000000000,37.3
24,Spring Care,Personal Care,110,Corner Store Network (UAE),General Trade,Gulf - UAE,25.8,63.1394736842105263,37.3
62,Royal Household,Home Care,7,UrbanPantry,Grocery,North America,24.3,61.5100694444444444,37.2
43,Coastal Table,Packaged Foods,38,GreenAisle (Metro),Grocery,India - Metro,25.1,62.2600000000000000,37.2
94,Crunch Cereal Co,Breakfast & Cereal,185,DailyBasket (Indonesia),Grocery,SEA - Indonesia,24.2,61.4287500000000000,37.2
14,Golden Bubbles,Sparkling Water,16,WareClub,Club,North America,25.9,63.0876190476190476,37.2
6,Coastal Bites,Salty Snacks,14,SaverClub,Club,North America,24.2,61.3621428571428571,37.2
98,Coastal Mornings,Breakfast & Cereal,79,MarketLink GT (Tier 2/3),General Trade,India - Tier 2/3,26.6,63.6752500000000000,37.1
46,Fresh Refresh,Beverages,25,QuickStop,C-Store,North America,25.8,62.8907142857142857,37.1
8,Meadow Crisps,Salty Snacks,75,Neighborhood Wholesale (Tier 2/3),General Trade,India - Tier 2/3,25.9,63.0406666666666667,37.1
108,Crunch Baby Co,Baby Care,69,DailyBasket (Tier 2/3),Grocery,India - Tier 2/3,24.9,61.9433333333333333,37.0
108,Crunch Baby Co,Baby Care,125,Sundry Traders Network (Saudi),General Trade,Gulf - Saudi,27.6,64.5725000000000000,37.0
28,Spring Skin,Personal Care,6,SunriseMart,Grocery,North America,26.2,63.2026315789473684,37.0
48,Silver Beverages,Beverages,133,ZipCart (Qatar),Quick Commerce,Gulf - Qatar,25.4,62.3838888888888889,37.0
93,Urban Mornings,Breakfast & Cereal,101,ZipCart (UAE),Quick Commerce,Gulf - UAE,26.5,63.3928030303030303,36.9
17,Nomad Bubbles,Sparkling Water,64,Sundry Traders Network (Metro),General Trade,India - Metro,25.1,61.9855603448275862,36.9
97,Royal Breakfast Co,Breakfast & Cereal,146,DailyBasket (Malaysia),Grocery,SEA - Malaysia,25.8,62.5915625000000000,36.8
70,Vivid Milk Co,Dairy,88,Sundry Traders Network #2 (Tier 2/3),General Trade,India - Tier 2/3,25.8,62.6312000000000000,36.8
18,Royal Fizz,Sparkling Water,15,BulkBasket Club,Club,North America,26.3,63.0876190476190476,36.8
34,Bold Kitchen,Packaged Foods,155,ValueTrade GT (Malaysia),General Trade,SEA - Malaysia,25.7,62.4881250000000000,36.8
71,Golden Farms,Dairy,12,MetroBazaar #2,Grocery,North America,24.0,60.7394736842105263,36.7
84,Everyday Treats,Confectionery,181,FreshMart (Indonesia),Grocery,SEA - Indonesia,25.3,61.8512500000000000,36.6
69,Everyday Milk Co,Dairy,147,SunriseMart (Malaysia),Grocery,SEA - Malaysia,28.0,64.5987500000000000,36.6
90,Prime Grains,Breakfast & Cereal,102,DashKart (UAE),Quick Commerce,Gulf - UAE,26.8,63.3928030303030303,36.6
53,Cloud Sip,Beverages,127,FreshMart (Qatar),Grocery,Gulf - Qatar,25.8,62.3838888888888889,36.6
95,Cloud Mornings,Breakfast & Cereal,118,Local Trade Collective (Saudi),General Trade,Gulf - Saudi,22.8,59.3711111111111111,36.6
12,True Water Co,Sparkling Water,54,GoCart Express (Metro),Quick Commerce,India - Metro,25.4,61.9855603448275862,36.6
83,Fresh Treats,Confectionery,70,SunriseMart (Tier 2/3),Grocery,India - Tier 2/3,25.8,62.4378000000000000,36.6
93,Urban Mornings,Breakfast & Cereal,180,Sundry Traders Network (Philippines),General Trade,SEA - Philippines,25.4,62.0381578947368421,36.6
96,Meadow Breakfast Co,Breakfast & Cereal,83,Neighborhood Wholesale #2 (Tier 2/3),General Trade,India - Tier 2/3,27.1,63.6752500000000000,36.6
79,Coastal Candy Co,Confectionery,73,Local Trade Collective (Tier 2/3),General Trade,India - Tier 2/3,25.8,62.4378000000000000,36.6
91,Coastal Cereal Co,Breakfast & Cereal,155,ValueTrade GT (Malaysia),General Trade,SEA - Malaysia,26.0,62.5915625000000000,36.6
54,Nomad Drinks,Beverages,82,ValueTrade GT #2 (Tier 2/3),General Trade,India - Tier 2/3,26.0,62.6366666666666667,36.6
24,Spring Care,Personal Care,128,MetroBazaar (Qatar),Grocery,Gulf - Qatar,25.1,61.5616666666666667,36.5
30,Cloud Essentials,Personal Care,161,Sundry Traders Network (Malaysia),General Trade,SEA - Malaysia,25.0,61.4575000000000000,36.5
73,Blue Milk Co,Dairy,185,DailyBasket (Indonesia),Grocery,SEA - Indonesia,26.8,63.3287500000000000,36.5
28,Spring Skin,Personal Care,153,FlashCart (Malaysia),Quick Commerce,SEA - Malaysia,25.0,61.4575000000000000,36.5
13,Urban Bubbles,Sparkling Water,171,SwiftBasket (Philippines),Quick Commerce,SEA - Philippines,28.2,64.6703947368421053,36.5
75,Vivid Dairy,Dairy,92,GreenAisle (UAE),Grocery,Gulf - UAE,27.8,64.2289473684210526,36.4
11,Silver Snacks,Salty Snacks,76,Corner Store Network (Tier 2/3),General Trade,India - Tier 2/3,26.6,63.0406666666666667,36.4
85,Heritage Treats,Confectionery,84,Corner Store Network #2 (Tier 2/3),General Trade,India - Tier 2/3,26.1,62.4378000000000000,36.3
14,Golden Bubbles,Sparkling Water,28,ExpressStop,C-Store,North America,26.8,63.0876190476190476,36.3
53,Cloud Sip,Beverages,132,QuickDash (Qatar),Quick Commerce,Gulf - Qatar,26.1,62.3838888888888889,36.3
98,Coastal Mornings,Breakfast & Cereal,71,UrbanPantry (Tier 2/3),Grocery,India - Tier 2/3,27.4,63.6752500000000000,36.3
82,Meadow Treats,Confectionery,10,HomeFresh,Grocery,North America,25.6,61.9236111111111111,36.3
62,Royal Household,Home Care,14,SaverClub,Club,North America,25.3,61.5100694444444444,36.2
82,Meadow Treats,Confectionery,86,Bazaar Wholesale #2 (Tier 2/3),General Trade,India - Tier 2/3,26.2,62.4378000000000000,36.2
12,True Water Co,Sparkling Water,70,SunriseMart (Tier 2/3),Grocery,India - Tier 2/3,27.2,63.3680000000000000,36.2
1,True Snacks,Salty Snacks,86,Bazaar Wholesale #2 (Tier 2/3),General Trade,India - Tier 2/3,26.8,63.0406666666666667,36.2
108,Crunch Baby Co,Baby Care,72,ValueGrocer (Tier 2/3),Grocery,India - Tier 2/3,25.8,61.9433333333333333,36.1
72,Nomad Milk Co,Dairy,65,FreshMart (Tier 2/3),Grocery,India - Tier 2/3,26.5,62.6312000000000000,36.1
50,Crunch Drinks,Beverages,164,GreenAisle (Philippines),Grocery,SEA - Philippines,28.4,64.5381578947368421,36.1
77,Urban Creamery,Dairy,123,Bazaar Wholesale (Saudi),General Trade,Gulf - Saudi,24.3,60.2775000000000000,36.0
49,Meadow Beverages,Beverages,80,Sundry Traders Network (Tier 2/3),General Trade,India - Tier 2/3,26.6,62.6366666666666667,36.0
50,Crunch Drinks,Beverages,200,Sundry Traders Network (Indonesia),General Trade,SEA - Indonesia,24.7,60.6750000000000000,36.0
78,Prime Confections,Confectionery,181,FreshMart (Indonesia),Grocery,SEA - Indonesia,25.9,61.8512500000000000,36.0
80,Nomad Candy Co,Confectionery,81,Local Trade Collective #2 (Tier 2/3),General Trade,India - Tier 2/3,26.4,62.4378000000000000,36.0
52,Spring Sip,Beverages,129,GreenAisle (Qatar),Grocery,Gulf - Qatar,26.5,62.3838888888888889,35.9
96,Meadow Breakfast Co,Breakfast & Cereal,79,MarketLink GT (Tier 2/3),General Trade,India - Tier 2/3,27.8,63.6752500000000000,35.9
9,Spring Crisps,Salty Snacks,108,ValueTrade GT (UAE),General Trade,Gulf - UAE,26.8,62.7130681818181818,35.9
75,Vivid Dairy,Dairy,73,Local Trade Collective (Tier 2/3),General Trade,India - Tier 2/3,26.7,62.6312000000000000,35.9
108,Crunch Baby Co,Baby Care,84,Corner Store Network #2 (Tier 2/3),General Trade,India - Tier 2/3,26.0,61.9433333333333333,35.9
26,Prime Care,Personal Care,70,SunriseMart (Tier 2/3),Grocery,India - Tier 2/3,26.9,62.8356666666666667,35.9
45,Pure Drinks,Beverages,121,Corner Store Network (Saudi),General Trade,Gulf - Saudi,26.7,62.5236666666666667,35.8
71,Golden Farms,Dairy,166,DailyBasket (Philippines),Grocery,SEA - Philippines,25.6,61.3750000000000000,35.8
13,Urban Bubbles,Sparkling Water,176,Corner Store Network (Philippines),General Trade,SEA - Philippines,28.9,64.6703947368421053,35.8
35,Silver Table,Packaged Foods,82,ValueTrade GT #2 (Tier 2/3),General Trade,India - Tier 2/3,26.2,61.8906000000000000,35.7
8,Meadow Crisps,Salty Snacks,87,MarketLink GT #2 (Tier 2/3),General Trade,India - Tier 2/3,27.3,63.0406666666666667,35.7
58,Coastal Clean,Home Care,94,DailyBasket (UAE),Grocery,Gulf - UAE,25.7,61.4090909090909091,35.7
16,Sunrise Water Co,Sparkling Water,172,HopMart (Philippines),Quick Commerce,SEA - Philippines,29.0,64.6703947368421053,35.7
73,Blue Milk Co,Dairy,184,PrimeGrocer (Indonesia),Grocery,SEA - Indonesia,27.6,63.3287500000000000,35.7
4,Blue Bites,Salty Snacks,148,QuickDash (Malaysia),Quick Commerce,SEA - Malaysia,24.6,60.3325000000000000,35.7
28,Spring Skin,Personal Care,147,SunriseMart (Malaysia),Grocery,SEA - Malaysia,25.8,61.4575000000000000,35.7
31,Everyday Glow,Personal Care,118,Local Trade Collective (Saudi),General Trade,Gulf - Saudi,24.2,59.8583333333333333,35.7
30,Cloud Essentials,Personal Care,9,CityMart,Grocery,North America,27.5,63.2026315789473684,35.7
90,Prime Grains,Breakfast & Cereal,160,MarketLink GT (Malaysia),General Trade,SEA - Malaysia,26.9,62.5915625000000000,35.7
50,Crunch Drinks,Beverages,170,DashKart (Philippines),Quick Commerce,SEA - Philippines,28.8,64.5381578947368421,35.7
4,Blue Bites,Salty Snacks,153,FlashCart (Malaysia),Quick Commerce,SEA - Malaysia,24.7,60.3325000000000000,35.6
17,Nomad Bubbles,Sparkling Water,49,SwiftBasket (Metro),Quick Commerce,India - Metro,26.4,61.9855603448275862,35.6
105,Silver Baby Essentials,Baby Care,194,ValueTrade GT (Indonesia),General Trade,SEA - Indonesia,24.1,59.7341666666666667,35.6
70,Vivid Milk Co,Dairy,70,SunriseMart (Tier 2/3),Grocery,India - Tier 2/3,27.0,62.6312000000000000,35.6
74,Sunrise Milk Co,Dairy,81,Local Trade Collective #2 (Tier 2/3),General Trade,India - Tier 2/3,27.0,62.6312000000000000,35.6
93,Urban Mornings,Breakfast & Cereal,166,DailyBasket (Philippines),Grocery,SEA - Philippines,26.4,62.0381578947368421,35.6
66,Golden Household,Home Care,87,MarketLink GT #2 (Tier 2/3),General Trade,India - Tier 2/3,27.3,62.8800000000000000,35.6
62,Royal Household,Home Care,114,GreenAisle (Saudi),Grocery,Gulf - Saudi,27.7,63.1858333333333333,35.5
80,Nomad Candy Co,Confectionery,29,QuickStop #2,C-Store,North America,26.4,61.9236111111111111,35.5
73,Blue Milk Co,Dairy,2,MetroBazaar,Grocery,North America,25.2,60.7394736842105263,35.5
85,Heritage Treats,Confectionery,74,ValueTrade GT (Tier 2/3),General Trade,India - Tier 2/3,26.9,62.4378000000000000,35.5
107,Spring Tiny Care,Baby Care,194,ValueTrade GT (Indonesia),General Trade,SEA - Indonesia,24.2,59.7341666666666667,35.5
92,Cloud Grains,Breakfast & Cereal,173,Local Trade Collective (Philippines),General Trade,SEA - Philippines,26.5,62.0381578947368421,35.5
46,Fresh Refresh,Beverages,10,HomeFresh,Grocery,North America,27.5,62.8907142857142857,35.4
16,Sunrise Water Co,Sparkling Water,195,Neighborhood Wholesale (Indonesia),General Trade,SEA - Indonesia,28.5,63.8825000000000000,35.4
44,Spring Pantry,Packaged Foods,107,Local Trade Collective (UAE),General Trade,Gulf - UAE,27.6,63.0119318181818182,35.4
18,Royal Fizz,Sparkling Water,112,FreshMart (Saudi),Grocery,Gulf - Saudi,27.7,63.0650000000000000,35.4
14,Golden Bubbles,Sparkling Water,8,ValueGrocer,Grocery,North America,27.8,63.0876190476190476,35.3
73,Blue Milk Co,Dairy,3,GreenAisle,Grocery,North America,25.4,60.7394736842105263,35.3
84,Everyday Treats,Confectionery,190,SwiftBasket (Indonesia),Quick Commerce,SEA - Indonesia,26.6,61.8512500000000000,35.3
38,Urban Pantry,Packaged Foods,119,ValueTrade GT (Saudi),General Trade,Gulf - Saudi,25.7,61.0458333333333333,35.3
66,Golden Household,Home Care,200,Sundry Traders Network (Indonesia),General Trade,SEA - Indonesia,28.4,63.7145833333333333,35.3
11,Silver Snacks,Salty Snacks,85,Community Retail Co-op #2 (Tier 2/3),General Trade,India - Tier 2/3,27.8,63.0406666666666667,35.2
35,Silver Table,Packaged Foods,8,ValueGrocer,Grocery,North America,27.3,62.4755208333333333,35.2
1,True Snacks,Salty Snacks,85,Community Retail Co-op #2 (Tier 2/3),General Trade,India - Tier 2/3,27.8,63.0406666666666667,35.2
18,Royal Fizz,Sparkling Water,19,GreenLeaf Naturals,Natural,North America,27.9,63.0876190476190476,35.2
25,Royal Skin,Personal Care,149,ZipCart (Malaysia),Quick Commerce,SEA - Malaysia,26.3,61.4575000000000000,35.2
16,Sunrise Water Co,Sparkling Water,180,Sundry Traders Network (Philippines),General Trade,SEA - Philippines,29.5,64.6703947368421053,35.2
21,Golden Fizz,Sparkling Water,145,PrimeGrocer (Malaysia),Grocery,SEA - Malaysia,26.4,61.5825000000000000,35.2
51,Coastal Drinks,Beverages,151,SwiftBasket (Malaysia),Quick Commerce,SEA - Malaysia,26.7,61.7712500000000000,35.1
22,Crunch Fizz,Sparkling Water,101,ZipCart (UAE),Quick Commerce,Gulf - UAE,27.9,62.9568181818181818,35.1
65,Urban Clean,Home Care,5,DailyBasket,Grocery,North America,26.4,61.5100694444444444,35.1
19,Fresh Fizz,Sparkling Water,83,Neighborhood Wholesale #2 (Tier 2/3),General Trade,India - Tier 2/3,28.3,63.3680000000000000,35.1
41,Royal Kitchen,Packaged Foods,4,PrimeGrocer,Grocery,North America,27.5,62.4755208333333333,35.0
82,Meadow Treats,Confectionery,89,Local Trade Collective #3 (Tier 2/3),General Trade,India - Tier 2/3,27.4,62.4378000000000000,35.0
22,Crunch Fizz,Sparkling Water,124,MarketLink GT (Saudi),General Trade,Gulf - Saudi,28.1,63.0650000000000000,35.0
69,Everyday Milk Co,Dairy,150,DashKart (Malaysia),Quick Commerce,SEA - Malaysia,29.6,64.5987500000000000,35.0
79,Coastal Candy Co,Confectionery,76,Corner Store Network (Tier 2/3),General Trade,India - Tier 2/3,27.4,62.4378000000000000,35.0
66,Golden Household,Home Care,78,Bazaar Wholesale (Tier 2/3),General Trade,India - Tier 2/3,27.9,62.8800000000000000,35.0
37,Heritage Kitchen,Packaged Foods,122,Community Retail Co-op (Saudi),General Trade,Gulf - Saudi,26.0,61.0458333333333333,35.0
6,Coastal Bites,Salty Snacks,24,PureRoots Market #2,Natural,North America,26.4,61.3621428571428571,35.0
46,Fresh Refresh,Beverages,13,GreenAisle #2,Grocery,North America,27.9,62.8907142857142857,35.0
