id,name,channel,region,total_stores
78,Bazaar Wholesale (Tier 2/3),General Trade,India - Tier 2/3,2521
79,MarketLink GT (Tier 2/3),General Trade,India - Tier 2/3,4040
80,Sundry Traders Network (Tier 2/3),General Trade,India - Tier 2/3,4514
81,Local Trade Collective #2 (Tier 2/3),General Trade,India - Tier 2/3,5731
82,ValueTrade GT #2 (Tier 2/3),General Trade,India - Tier 2/3,3467
83,Neighborhood Wholesale #2 (Tier 2/3),General Trade,India - Tier 2/3,2223
84,Corner Store Network #2 (Tier 2/3),General Trade,India - Tier 2/3,5247
85,Community Retail Co-op #2 (Tier 2/3),General Trade,India - Tier 2/3,4333
86,Bazaar Wholesale #2 (Tier 2/3),General Trade,India - Tier 2/3,4651
87,MarketLink GT #2 (Tier 2/3),General Trade,India - Tier 2/3,1937
88,Sundry Traders Network #2 (Tier 2/3),General Trade,India - Tier 2/3,2905
89,Local Trade Collective #3 (Tier 2/3),General Trade,India - Tier 2/3,4955
90,FreshMart (UAE),Grocery,Gulf - UAE,845
91,MetroBazaar (UAE),Grocery,Gulf - UAE,480
92,GreenAisle (UAE),Grocery,Gulf - UAE,820
93,PrimeGrocer (UAE),Grocery,Gulf - UAE,854
94,DailyBasket (UAE),Grocery,Gulf - UAE,436
95,SunriseMart (UAE),Grocery,Gulf - UAE,906
96,UrbanPantry (UAE),Grocery,Gulf - UAE,345
97,SaverClub (UAE),Club,Gulf - UAE,300
98,BulkBasket Club (UAE),Club,Gulf - UAE,707
99,WareClub (UAE),Club,Gulf - UAE,665
100,QuickDash (UAE),Quick Commerce,Gulf - UAE,254
101,ZipCart (UAE),Quick Commerce,Gulf - UAE,774
102,DashKart (UAE),Quick Commerce,Gulf - UAE,299
103,SwiftBasket (UAE),Quick Commerce,Gulf - UAE,753
104,HopMart (UAE),Quick Commerce,Gulf - UAE,155
105,FlashCart (UAE),Quick Commerce,Gulf - UAE,747
106,NimbleMart (UAE),Quick Commerce,Gulf - UAE,740
107,Local Trade Collective (UAE),General Trade,Gulf - UAE,5011
108,ValueTrade GT (UAE),General Trade,Gulf - UAE,4491
109,Neighborhood Wholesale (UAE),General Trade,Gulf - UAE,3622
110,Corner Store Network (UAE),General Trade,Gulf - UAE,4673
111,Community Retail Co-op (UAE),General Trade,Gulf - UAE,2747
112,FreshMart (Saudi),Grocery,Gulf - Saudi,798
113,MetroBazaar (Saudi),Grocery,Gulf - Saudi,591
114,GreenAisle (Saudi),Grocery,Gulf - Saudi,502
115,PrimeGrocer (Saudi),Grocery,Gulf - Saudi,545
116,DailyBasket (Saudi),Grocery,Gulf - Saudi,603
117,SunriseMart (Saudi),Grocery,Gulf - Saudi,114
118,Local Trade Collective (Saudi),General Trade,Gulf - Saudi,2129
119,ValueTrade GT (Saudi),General Trade,Gulf - Saudi,2604
120,Neighborhood Wholesale (Saudi),General Trade,Gulf - Saudi,2015
121,Corner Store Network (Saudi),General Trade,Gulf - Saudi,3478
122,Community Retail Co-op (Saudi),General Trade,Gulf - Saudi,4507
123,Bazaar Wholesale (Saudi),General Trade,Gulf - Saudi,4444
124,MarketLink GT (Saudi),General Trade,Gulf - Saudi,3619
125,Sundry Traders Network (Saudi),General Trade,Gulf - Saudi,5347
126,Local Trade Collective #2 (Saudi),General Trade,Gulf - Saudi,4043
127,FreshMart (Qatar),Grocery,Gulf - Qatar,152
128,MetroBazaar (Qatar),Grocery,Gulf - Qatar,783
129,GreenAisle (Qatar),Grocery,Gulf - Qatar,608
130,PrimeGrocer (Qatar),Grocery,Gulf - Qatar,663
131,DailyBasket (Qatar),Grocery,Gulf - Qatar,600
132,QuickDash (Qatar),Quick Commerce,Gulf - Qatar,565
133,ZipCart (Qatar),Quick Commerce,Gulf - Qatar,217
134,DashKart (Qatar),Quick Commerce,Gulf - Qatar,569
135,SwiftBasket (Qatar),Quick Commerce,Gulf - Qatar,746
136,HopMart (Qatar),Quick Commerce,Gulf - Qatar,377
137,Local Trade Collective (Qatar),General Trade,Gulf - Qatar,4212
138,ValueTrade GT (Qatar),General Trade,Gulf - Qatar,1638
139,Neighborhood Wholesale (Qatar),General Trade,Gulf - Qatar,3063
140,Corner Store Network (Qatar),General Trade,Gulf - Qatar,3465
141,Community Retail Co-op (Qatar),General Trade,Gulf - Qatar,5922
142,FreshMart (Malaysia),Grocery,SEA - Malaysia,277
143,MetroBazaar (Malaysia),Grocery,SEA - Malaysia,334
144,GreenAisle (Malaysia),Grocery,SEA - Malaysia,455
145,PrimeGrocer (Malaysia),Grocery,SEA - Malaysia,993
146,DailyBasket (Malaysia),Grocery,SEA - Malaysia,865
147,SunriseMart (Malaysia),Grocery,SEA - Malaysia,111
148,QuickDash (Malaysia),Quick Commerce,SEA - Malaysia,325
149,ZipCart (Malaysia),Quick Commerce,SEA - Malaysia,766
150,DashKart (Malaysia),Quick Commerce,SEA - Malaysia,193
151,SwiftBasket (Malaysia),Quick Commerce,SEA - Malaysia,791
152,HopMart (Malaysia),Quick Commerce,SEA - Malaysia,361
153,FlashCart (Malaysia),Quick Commerce,SEA - Malaysia,838
154,Local Trade Collective (Malaysia),General Trade,SEA - Malaysia,2821
155,ValueTrade GT (Malaysia),General Trade,SEA - Malaysia,3454
156,Neighborhood Wholesale (Malaysia),General Trade,SEA - Malaysia,4478
157,Corner Store Network (Malaysia),General Trade,SEA - Malaysia,2068
158,Community Retail Co-op (Malaysia),General Trade,SEA - Malaysia,4006
159,Bazaar Wholesale (Malaysia),General Trade,SEA - Malaysia,3772
160,MarketLink GT (Malaysia),General Trade,SEA - Malaysia,5027
161,Sundry Traders Network (Malaysia),General Trade,SEA - Malaysia,5982
162,FreshMart (Philippines),Grocery,SEA - Philippines,691
163,MetroBazaar (Philippines),Grocery,SEA - Philippines,456
164,GreenAisle (Philippines),Grocery,SEA - Philippines,453
165,PrimeGrocer (Philippines),Grocery,SEA - Philippines,464
166,DailyBasket (Philippines),Grocery,SEA - Philippines,828
167,SunriseMart (Philippines),Grocery,SEA - Philippines,375
168,QuickDash (Philippines),Quick Commerce,SEA - Philippines,275
169,ZipCart (Philippines),Quick Commerce,SEA - Philippines,400
170,DashKart (Philippines),Quick Commerce,SEA - Philippines,167
171,SwiftBasket (Philippines),Quick Commerce,SEA - Philippines,229
172,HopMart (Philippines),Quick Commerce,SEA - Philippines,217
173,Local Trade Collective (Philippines),General Trade,SEA - Philippines,4971
174,ValueTrade GT (Philippines),General Trade,SEA - Philippines,4750
175,Neighborhood Wholesale (Philippines),General Trade,SEA - Philippines,4635
176,Corner Store Network (Philippines),General Trade,SEA - Philippines,3578
177,Community Retail Co-op (Philippines),General Trade,SEA - Philippines,4726
178,Bazaar Wholesale (Philippines),General Trade,SEA - Philippines,2225
179,MarketLink GT (Philippines),General Trade,SEA - Philippines,5552
180,Sundry Traders Network (Philippines),General Trade,SEA - Philippines,3754
181,FreshMart (Indonesia),Grocery,SEA - Indonesia,943
182,MetroBazaar (Indonesia),Grocery,SEA - Indonesia,220
183,GreenAisle (Indonesia),Grocery,SEA - Indonesia,537
184,PrimeGrocer (Indonesia),Grocery,SEA - Indonesia,720
185,DailyBasket (Indonesia),Grocery,SEA - Indonesia,535
186,SunriseMart (Indonesia),Grocery,SEA - Indonesia,490
187,QuickDash (Indonesia),Quick Commerce,SEA - Indonesia,274
188,ZipCart (Indonesia),Quick Commerce,SEA - Indonesia,435
189,DashKart (Indonesia),Quick Commerce,SEA - Indonesia,329
190,SwiftBasket (Indonesia),Quick Commerce,SEA - Indonesia,376
191,HopMart (Indonesia),Quick Commerce,SEA - Indonesia,662
192,FlashCart (Indonesia),Quick Commerce,SEA - Indonesia,622
193,Local Trade Collective (Indonesia),General Trade,SEA - Indonesia,4232
194,ValueTrade GT (Indonesia),General Trade,SEA - Indonesia,3128
195,Neighborhood Wholesale (Indonesia),General Trade,SEA - Indonesia,5818
196,Corner Store Network (Indonesia),General Trade,SEA - Indonesia,1894
197,Community Retail Co-op (Indonesia),General Trade,SEA - Indonesia,3041
198,Bazaar Wholesale (Indonesia),General Trade,SEA - Indonesia,2031
199,MarketLink GT (Indonesia),General Trade,SEA - Indonesia,3025
200,Sundry Traders Network (Indonesia),General Trade,SEA - Indonesia,5828
