id,brand_id,category,retailer_id,region,signal_date,signal_type,magnitude_pct,description,org_id
49,75,Dairy,106,Gulf - UAE,2025-12-28,promo_launch,10.1,"Vivid Dairy launched a promo at NimbleMart (UAE) the week of 2025-12-28 (TPR, 10% depth).",1
50,51,Beverages,4,North America,2025-12-28,promo_launch,49.7,"Coastal Drinks launched a promo at PrimeGrocer the week of 2025-12-28 (BOGO, 50% depth).",1
51,51,Beverages,6,North America,2025-12-28,promo_launch,19.7,"Coastal Drinks launched a promo at SunriseMart the week of 2025-12-28 (Ad, 20% depth).",1
52,90,Breakfast & Cereal,111,Gulf - UAE,2025-12-28,promo_launch,5.9,"Prime Grains launched a promo at Community Retail Co-op (UAE) the week of 2025-12-28 (TPR, 6% depth).",1
53,51,Beverages,8,North America,2025-12-28,promo_launch,19.5,"Coastal Drinks launched a promo at ValueGrocer the week of 2025-12-28 (Display, 20% depth).",1
54,15,Sparkling Water,122,Gulf - Saudi,2025-12-28,promo_launch,16.9,"Blue Springs launched a promo at Community Retail Co-op (Saudi) the week of 2025-12-28 (Display, 17% depth).",1
55,90,Breakfast & Cereal,110,Gulf - UAE,2025-12-28,promo_launch,21.4,"Prime Grains launched a promo at Corner Store Network (UAE) the week of 2025-12-28 (Ad, 21% depth).",1
56,15,Sparkling Water,123,Gulf - Saudi,2025-12-28,promo_launch,15.2,"Blue Springs launched a promo at Bazaar Wholesale (Saudi) the week of 2025-12-28 (Ad, 15% depth).",1
57,105,Baby Care,194,SEA - Indonesia,2025-12-28,promo_launch,10.9,"Silver Baby Essentials launched a promo at ValueTrade GT (Indonesia) the week of 2025-12-28 (TPR, 11% depth).",1
58,75,Dairy,102,Gulf - UAE,2025-12-28,promo_launch,11.4,"Vivid Dairy launched a promo at DashKart (UAE) the week of 2025-12-28 (Display, 11% depth).",1
59,33,Personal Care,69,India - Tier 2/3,2025-12-28,promo_launch,47.7,"Cloud Glow launched a promo at DailyBasket (Tier 2/3) the week of 2025-12-28 (BOGO, 48% depth).",1
60,75,Dairy,75,India - Tier 2/3,2025-12-28,promo_launch,48.8,"Vivid Dairy launched a promo at Neighborhood Wholesale (Tier 2/3) the week of 2025-12-28 (BOGO, 49% depth).",1
61,52,Beverages,130,Gulf - Qatar,2025-12-28,promo_launch,16.1,"Spring Sip launched a promo at PrimeGrocer (Qatar) the week of 2025-12-28 (Display, 16% depth).",1
62,82,Confectionery,33,North America,2025-12-28,promo_launch,7.6,"Meadow Treats launched a promo at QuickStop #3 the week of 2025-12-28 (TPR, 8% depth).",1
63,32,Personal Care,86,India - Tier 2/3,2025-12-28,promo_launch,17.7,"Cloud Skin launched a promo at Bazaar Wholesale #2 (Tier 2/3) the week of 2025-12-28 (Ad, 18% depth).",1
64,3,Salty Snacks,27,North America,2025-12-28,promo_launch,8.3,"Prime Snacks launched a promo at GoStop the week of 2025-12-28 (TPR, 8% depth).",1
65,53,Beverages,118,Gulf - Saudi,2025-12-28,promo_launch,14.2,"Cloud Sip launched a promo at Local Trade Collective (Saudi) the week of 2025-12-28 (TPR, 14% depth).",1
66,53,Beverages,121,Gulf - Saudi,2025-12-28,promo_launch,47.1,"Cloud Sip launched a promo at Corner Store Network (Saudi) the week of 2025-12-28 (BOGO, 47% depth).",1
67,16,Sparkling Water,164,SEA - Philippines,2025-12-28,promo_launch,49.9,"Sunrise Water Co launched a promo at GreenAisle (Philippines) the week of 2025-12-28 (BOGO, 50% depth).",1
68,32,Personal Care,81,India - Tier 2/3,2025-12-28,promo_launch,14.8,"Cloud Skin launched a promo at Local Trade Collective #2 (Tier 2/3) the week of 2025-12-28 (Display, 15% depth).",1
69,75,Dairy,79,India - Tier 2/3,2025-12-28,promo_launch,11.4,"Vivid Dairy launched a promo at MarketLink GT (Tier 2/3) the week of 2025-12-28 (TPR, 11% depth).",1
70,53,Beverages,129,Gulf - Qatar,2025-12-28,promo_launch,11.9,"Cloud Sip launched a promo at GreenAisle (Qatar) the week of 2025-12-28 (TPR, 12% depth).",1
71,32,Personal Care,76,India - Tier 2/3,2025-12-28,promo_launch,5.7,"Cloud Skin launched a promo at Corner Store Network (Tier 2/3) the week of 2025-12-28 (TPR, 6% depth).",1
72,90,Breakfast & Cereal,102,Gulf - UAE,2025-12-28,promo_launch,13.6,"Prime Grains launched a promo at DashKart (UAE) the week of 2025-12-28 (TPR, 14% depth).",1
73,102,Baby Care,89,India - Tier 2/3,2025-12-28,promo_launch,11.2,"Coastal Little Ones launched a promo at Local Trade Collective #3 (Tier 2/3) the week of 2025-12-28 (Display, 11% depth).",1
74,110,Baby Care,2,North America,2025-12-28,promo_launch,11.0,"Meadow Tiny Care launched a promo at MetroBazaar the week of 2025-12-28 (TPR, 11% depth).",1
75,16,Sparkling Water,174,SEA - Philippines,2025-12-28,promo_launch,12.9,"Sunrise Water Co launched a promo at ValueTrade GT (Philippines) the week of 2025-12-28 (Display, 13% depth).",1
76,52,Beverages,134,Gulf - Qatar,2025-12-28,promo_launch,13.0,"Spring Sip launched a promo at DashKart (Qatar) the week of 2025-12-28 (TPR, 13% depth).",1
77,3,Salty Snacks,112,Gulf - Saudi,2025-12-28,promo_launch,18.3,"Prime Snacks launched a promo at FreshMart (Saudi) the week of 2025-12-28 (Display, 18% depth).",1
78,53,Beverages,123,Gulf - Saudi,2025-12-28,promo_launch,19.4,"Cloud Sip launched a promo at Bazaar Wholesale (Saudi) the week of 2025-12-28 (Ad, 19% depth).",1
79,3,Salty Snacks,113,Gulf - Saudi,2025-12-28,promo_launch,19.4,"Prime Snacks launched a promo at MetroBazaar (Saudi) the week of 2025-12-28 (Display, 19% depth).",1
80,96,Breakfast & Cereal,69,India - Tier 2/3,2025-12-28,promo_launch,23.2,"Meadow Breakfast Co launched a promo at DailyBasket (Tier 2/3) the week of 2025-12-28 (Ad, 23% depth).",1
81,32,Personal Care,82,India - Tier 2/3,2025-12-28,promo_launch,14.1,"Cloud Skin launched a promo at ValueTrade GT #2 (Tier 2/3) the week of 2025-12-28 (TPR, 14% depth).",1
82,53,Beverages,128,Gulf - Qatar,2025-12-28,promo_launch,12.8,"Cloud Sip launched a promo at MetroBazaar (Qatar) the week of 2025-12-28 (TPR, 13% depth).",1
83,3,Salty Snacks,114,Gulf - Saudi,2025-12-28,promo_launch,10.0,"Prime Snacks launched a promo at GreenAisle (Saudi) the week of 2025-12-28 (TPR, 10% depth).",1
84,11,Salty Snacks,9,North America,2025-12-28,promo_launch,14.8,"Silver Snacks launched a promo at CityMart the week of 2025-12-28 (Display, 15% depth).",1
85,32,Personal Care,78,India - Tier 2/3,2025-12-28,promo_launch,7.2,"Cloud Skin launched a promo at Bazaar Wholesale (Tier 2/3) the week of 2025-12-28 (TPR, 7% depth).",1
86,75,Dairy,65,India - Tier 2/3,2025-12-28,promo_launch,7.7,"Vivid Dairy launched a promo at FreshMart (Tier 2/3) the week of 2025-12-28 (TPR, 8% depth).",1
87,110,Baby Care,1,North America,2025-12-28,promo_launch,6.1,"Meadow Tiny Care launched a promo at FreshMart the week of 2025-12-28 (TPR, 6% depth).",1
88,53,Beverages,137,Gulf - Qatar,2025-12-28,promo_launch,11.2,"Cloud Sip launched a promo at Local Trade Collective (Qatar) the week of 2025-12-28 (Display, 11% depth).",1
89,53,Beverages,115,Gulf - Saudi,2025-12-28,promo_launch,49.6,"Cloud Sip launched a promo at PrimeGrocer (Saudi) the week of 2025-12-28 (BOGO, 50% depth).",1
90,32,Personal Care,87,India - Tier 2/3,2025-12-28,promo_launch,15.6,"Cloud Skin launched a promo at MarketLink GT #2 (Tier 2/3) the week of 2025-12-28 (Display, 16% depth).",1
91,53,Beverages,114,Gulf - Saudi,2025-12-28,promo_launch,10.8,"Cloud Sip launched a promo at GreenAisle (Saudi) the week of 2025-12-28 (Display, 11% depth).",1
92,52,Beverages,140,Gulf - Qatar,2025-12-28,promo_launch,7.2,"Spring Sip launched a promo at Corner Store Network (Qatar) the week of 2025-12-28 (TPR, 7% depth).",1
93,75,Dairy,73,India - Tier 2/3,2025-12-28,promo_launch,24.5,"Vivid Dairy launched a promo at Local Trade Collective (Tier 2/3) the week of 2025-12-28 (Ad, 24% depth).",1
94,90,Breakfast & Cereal,158,SEA - Malaysia,2025-12-28,promo_launch,49.2,"Prime Grains launched a promo at Community Retail Co-op (Malaysia) the week of 2025-12-28 (BOGO, 49% depth).",1
95,52,Beverages,137,Gulf - Qatar,2025-12-28,promo_launch,11.7,"Spring Sip launched a promo at Local Trade Collective (Qatar) the week of 2025-12-28 (TPR, 12% depth).",1
96,103,Baby Care,76,India - Tier 2/3,2025-12-28,promo_launch,10.5,"Coastal Baby Essentials launched a promo at Corner Store Network (Tier 2/3) the week of 2025-12-28 (Display, 10% depth).",1
97,11,Salty Snacks,22,North America,2025-12-28,promo_launch,7.4,"Silver Snacks launched a promo at NaturaLife Market the week of 2025-12-28 (TPR, 7% depth).",1
98,98,Breakfast & Cereal,86,India - Tier 2/3,2025-12-28,promo_launch,45.4,"Coastal Mornings launched a promo at Bazaar Wholesale #2 (Tier 2/3) the week of 2025-12-28 (BOGO, 45% depth).",1
99,75,Dairy,70,India - Tier 2/3,2025-12-28,promo_launch,16.5,"Vivid Dairy launched a promo at SunriseMart (Tier 2/3) the week of 2025-12-28 (Display, 16% depth).",1
100,33,Personal Care,122,Gulf - Saudi,2025-12-28,promo_launch,24.6,"Cloud Glow launched a promo at Community Retail Co-op (Saudi) the week of 2025-12-28 (Ad, 25% depth).",1
101,52,Beverages,128,Gulf - Qatar,2025-12-28,promo_launch,7.6,"Spring Sip launched a promo at MetroBazaar (Qatar) the week of 2025-12-28 (TPR, 8% depth).",1
102,52,Beverages,130,Gulf - Qatar,2025-12-28,promo_launch,48.4,"Spring Sip launched a promo at PrimeGrocer (Qatar) the week of 2025-12-28 (BOGO, 48% depth).",1
103,52,Beverages,131,Gulf - Qatar,2025-12-28,promo_launch,8.2,"Spring Sip launched a promo at DailyBasket (Qatar) the week of 2025-12-28 (TPR, 8% depth).",1
104,106,Baby Care,66,India - Tier 2/3,2025-12-28,promo_launch,18.1,"Vivid Little Ones launched a promo at MetroBazaar (Tier 2/3) the week of 2025-12-28 (Display, 18% depth).",1
105,82,Confectionery,9,North America,2025-12-28,promo_launch,22.0,"Meadow Treats launched a promo at CityMart the week of 2025-12-28 (Ad, 22% depth).",1
106,108,Baby Care,86,India - Tier 2/3,2025-12-28,promo_launch,7.0,"Crunch Baby Co launched a promo at Bazaar Wholesale #2 (Tier 2/3) the week of 2025-12-28 (TPR, 7% depth).",1
107,82,Confectionery,10,North America,2025-12-28,promo_launch,19.2,"Meadow Treats launched a promo at HomeFresh the week of 2025-12-28 (Display, 19% depth).",1
108,52,Beverages,130,Gulf - Qatar,2025-12-28,promo_launch,9.7,"Spring Sip launched a promo at PrimeGrocer (Qatar) the week of 2025-12-28 (TPR, 10% depth).",1
109,33,Personal Care,85,India - Tier 2/3,2025-12-28,promo_launch,48.2,"Cloud Glow launched a promo at Community Retail Co-op #2 (Tier 2/3) the week of 2025-12-28 (BOGO, 48% depth).",1
110,90,Breakfast & Cereal,146,SEA - Malaysia,2025-12-28,promo_launch,13.0,"Prime Grains launched a promo at DailyBasket (Malaysia) the week of 2025-12-28 (TPR, 13% depth).",1
111,52,Beverages,136,Gulf - Qatar,2025-12-28,promo_launch,16.1,"Spring Sip launched a promo at HopMart (Qatar) the week of 2025-12-28 (Display, 16% depth).",1
112,52,Beverages,138,Gulf - Qatar,2025-12-28,promo_launch,14.4,"Spring Sip launched a promo at ValueTrade GT (Qatar) the week of 2025-12-28 (TPR, 14% depth).",1
113,33,Personal Care,79,India - Tier 2/3,2025-12-28,promo_launch,16.9,"Cloud Glow launched a promo at MarketLink GT (Tier 2/3) the week of 2025-12-28 (Ad, 17% depth).",1
114,90,Breakfast & Cereal,145,SEA - Malaysia,2025-12-28,promo_launch,15.5,"Prime Grains launched a promo at PrimeGrocer (Malaysia) the week of 2025-12-28 (Display, 16% depth).",1
115,52,Beverages,140,Gulf - Qatar,2025-12-28,promo_launch,18.6,"Spring Sip launched a promo at Corner Store Network (Qatar) the week of 2025-12-28 (Display, 19% depth).",1
116,3,Salty Snacks,21,North America,2025-12-28,promo_launch,15.5,"Prime Snacks launched a promo at EarthAisle the week of 2025-12-28 (Display, 16% depth).",1
117,90,Breakfast & Cereal,144,SEA - Malaysia,2025-12-28,promo_launch,8.2,"Prime Grains launched a promo at GreenAisle (Malaysia) the week of 2025-12-28 (TPR, 8% depth).",1
118,75,Dairy,76,India - Tier 2/3,2025-12-28,promo_launch,16.0,"Vivid Dairy launched a promo at Corner Store Network (Tier 2/3) the week of 2025-12-28 (Display, 16% depth).",1
119,108,Baby Care,114,Gulf - Saudi,2025-12-28,promo_launch,11.3,"Crunch Baby Co launched a promo at GreenAisle (Saudi) the week of 2025-12-28 (Display, 11% depth).",1
120,3,Salty Snacks,31,North America,2025-12-28,promo_launch,13.0,"Prime Snacks launched a promo at GoStop #2 the week of 2025-12-28 (Display, 13% depth).",1
121,91,Breakfast & Cereal,121,Gulf - Saudi,2025-12-28,promo_launch,17.5,"Coastal Cereal Co launched a promo at Corner Store Network (Saudi) the week of 2025-12-28 (Ad, 18% depth).",1
122,108,Baby Care,122,Gulf - Saudi,2025-12-28,promo_launch,7.7,"Crunch Baby Co launched a promo at Community Retail Co-op (Saudi) the week of 2025-12-28 (TPR, 8% depth).",1
123,50,Beverages,192,SEA - Indonesia,2025-12-28,promo_launch,9.1,"Crunch Drinks launched a promo at FlashCart (Indonesia) the week of 2025-12-28 (TPR, 9% depth).",1
124,50,Beverages,195,SEA - Indonesia,2025-12-28,promo_launch,11.0,"Crunch Drinks launched a promo at Neighborhood Wholesale (Indonesia) the week of 2025-12-28 (TPR, 11% depth).",1
125,81,Confectionery,134,Gulf - Qatar,2025-12-28,promo_launch,19.2,"Prime Candy Co launched a promo at DashKart (Qatar) the week of 2025-12-28 (Ad, 19% depth).",1
126,50,Beverages,196,SEA - Indonesia,2025-12-28,promo_launch,16.1,"Crunch Drinks launched a promo at Corner Store Network (Indonesia) the week of 2025-12-28 (Display, 16% depth).",1
127,50,Beverages,198,SEA - Indonesia,2025-12-28,promo_launch,10.4,"Crunch Drinks launched a promo at Bazaar Wholesale (Indonesia) the week of 2025-12-28 (Display, 10% depth).",1
128,110,Baby Care,38,India - Metro,2025-12-28,promo_launch,46.1,"Meadow Tiny Care launched a promo at GreenAisle (Metro) the week of 2025-12-28 (BOGO, 46% depth).",1
129,105,Baby Care,83,India - Tier 2/3,2025-12-28,promo_launch,9.4,"Silver Baby Essentials launched a promo at Neighborhood Wholesale #2 (Tier 2/3) the week of 2025-12-28 (TPR, 9% depth).",1
130,75,Dairy,92,Gulf - UAE,2025-12-28,promo_launch,6.6,"Vivid Dairy launched a promo at GreenAisle (UAE) the week of 2025-12-28 (TPR, 7% depth).",1
131,34,Packaged Foods,153,SEA - Malaysia,2025-12-28,promo_launch,16.6,"Bold Kitchen launched a promo at FlashCart (Malaysia) the week of 2025-12-28 (Display, 17% depth).",1
132,14,Sparkling Water,31,North America,2025-12-28,promo_launch,12.3,"Golden Bubbles launched a promo at GoStop #2 the week of 2025-12-28 (Display, 12% depth).",1
133,75,Dairy,91,Gulf - UAE,2025-12-28,promo_launch,12.6,"Vivid Dairy launched a promo at MetroBazaar (UAE) the week of 2025-12-28 (Display, 13% depth).",1
134,34,Packaged Foods,151,SEA - Malaysia,2025-12-28,promo_launch,10.6,"Bold Kitchen launched a promo at SwiftBasket (Malaysia) the week of 2025-12-28 (TPR, 11% depth).",1
135,51,Beverages,32,North America,2025-12-28,promo_launch,15.7,"Coastal Drinks launched a promo at ExpressStop #2 the week of 2025-12-28 (Display, 16% depth).",1
136,103,Baby Care,86,India - Tier 2/3,2025-12-28,promo_launch,6.4,"Coastal Baby Essentials launched a promo at Bazaar Wholesale #2 (Tier 2/3) the week of 2025-12-28 (TPR, 6% depth).",1
137,34,Packaged Foods,149,SEA - Malaysia,2025-12-28,promo_launch,11.3,"Bold Kitchen launched a promo at ZipCart (Malaysia) the week of 2025-12-28 (Display, 11% depth).",1
138,51,Beverages,11,North America,2025-12-28,promo_launch,21.9,"Coastal Drinks launched a promo at FreshMart #2 the week of 2025-12-28 (Ad, 22% depth).",1
139,14,Sparkling Water,33,North America,2025-12-28,promo_launch,17.6,"Golden Bubbles launched a promo at QuickStop #3 the week of 2025-12-28 (Display, 18% depth).",1
140,81,Confectionery,137,Gulf - Qatar,2025-12-28,promo_launch,14.1,"Prime Candy Co launched a promo at Local Trade Collective (Qatar) the week of 2025-12-28 (TPR, 14% depth).",1
141,34,Packaged Foods,200,SEA - Indonesia,2025-12-28,promo_launch,18.2,"Bold Kitchen launched a promo at Sundry Traders Network (Indonesia) the week of 2025-12-28 (Display, 18% depth).",1
142,75,Dairy,87,India - Tier 2/3,2025-12-28,promo_launch,14.3,"Vivid Dairy launched a promo at MarketLink GT #2 (Tier 2/3) the week of 2025-12-28 (TPR, 14% depth).",1
143,51,Beverages,22,North America,2025-12-28,promo_launch,8.2,"Coastal Drinks launched a promo at NaturaLife Market the week of 2025-12-28 (TPR, 8% depth).",1
144,81,Confectionery,138,Gulf - Qatar,2025-12-28,promo_launch,9.3,"Prime Candy Co launched a promo at ValueTrade GT (Qatar) the week of 2025-12-28 (TPR, 9% depth).",1
145,51,Beverages,26,North America,2025-12-28,promo_launch,45.5,"Coastal Drinks launched a promo at CornerFuel Mart the week of 2025-12-28 (BOGO, 46% depth).",1
146,91,Breakfast & Cereal,114,Gulf - Saudi,2025-12-28,promo_launch,5.6,"Coastal Cereal Co launched a promo at GreenAisle (Saudi) the week of 2025-12-28 (TPR, 6% depth).",1
147,51,Beverages,28,North America,2025-12-28,promo_launch,6.4,"Coastal Drinks launched a promo at ExpressStop the week of 2025-12-28 (TPR, 6% depth).",1
148,81,Confectionery,133,Gulf - Qatar,2025-12-28,promo_launch,49.1,"Prime Candy Co launched a promo at ZipCart (Qatar) the week of 2025-12-28 (BOGO, 49% depth).",1
149,103,Baby Care,89,India - Tier 2/3,2025-12-28,promo_launch,48.4,"Coastal Baby Essentials launched a promo at Local Trade Collective #3 (Tier 2/3) the week of 2025-12-28 (BOGO, 48% depth).",1
150,91,Breakfast & Cereal,145,SEA - Malaysia,2025-12-28,promo_launch,12.4,"Coastal Cereal Co launched a promo at PrimeGrocer (Malaysia) the week of 2025-12-28 (TPR, 12% depth).",1
151,95,Breakfast & Cereal,125,Gulf - Saudi,2025-12-28,promo_launch,48.9,"Cloud Mornings launched a promo at Sundry Traders Network (Saudi) the week of 2025-12-28 (BOGO, 49% depth).",1
152,95,Breakfast & Cereal,122,Gulf - Saudi,2025-12-28,promo_launch,17.8,"Cloud Mornings launched a promo at Community Retail Co-op (Saudi) the week of 2025-12-28 (Display, 18% depth).",1
153,76,Dairy,11,North America,2025-12-28,promo_launch,14.7,"Royal Farms launched a promo at FreshMart #2 the week of 2025-12-28 (Display, 15% depth).",1
